size,bold,italic,text_len,num_prefix,is_larger_than_common_font,text_case,is_bulleted,text,label
11,0,0,95,0,0,mixed,0,"In Low-Level Design (LLD) , the focus is on how the system will be built. It involves designing",H3
11,0,0,87,0,0,mixed,0,"individual modules/classes, their interactions, and implementing OOP principles, design",H3
11,0,0,19,0,0,lower,0,"patterns, and more.",H3
11,0,0,73,0,0,mixed,0,"Here's a comprehensive list of topics to study in LLD, grouped logically:",H3
13,1,0,36,1,1,mixed,0,1. Object-Oriented Programming (OOP),H1
11,1,0,17,0,0,mixed,0,Principles of OOP,H2
11,0,0,13,0,0,sentence,0,Encapsulation,P
11,0,0,11,0,0,sentence,0,Abstraction,P
11,0,0,11,0,0,sentence,0,Inheritance,P
11,0,0,12,0,0,sentence,0,Polymorphism,P
11,1,0,16,0,0,mixed,0,SOLID Principles,H2
11,0,0,31,0,0,mixed,0,Single Responsibility Principle,P
11,0,0,21,0,0,mixed,0,Open/Closed Principle,P
11,0,0,29,0,0,mixed,0,Liskov Substitution Principle,P
11,0,0,31,0,0,mixed,0,Interface Segregation Principle,P
11,0,0,30,0,0,mixed,0,Dependency Inversion Principle,P
13,1,0,15,1,1,mixed,0,2. Class Design,H1
11,0,0,37,0,0,sentence,0,"Defining classes, attributes, methods",P
11,0,0,25,0,0,sentence,0,"Constructors, destructors",P
11,0,0,45,0,0,sentence,0,"Access modifiers (public, private, protected)",P
11,0,0,30,0,0,sentence,0,Relationships between classes:,P
11,0,0,11,0,0,sentence,0,Association,P
11,0,0,11,0,0,sentence,0,Aggregation,P
11,0,0,11,0,0,sentence,0,Composition,P
11,0,0,21,0,0,sentence,0,Inheritance (extends),P
11,0,0,37,0,0,sentence,0,Implementation (implements interface),P
13,1,0,35,1,1,mixed,0,3. Design Patterns (very important),H1
11,1,0,21,0,0,mixed,0,Creational Patterns :,H2
11,0,0,9,0,0,sentence,0,Singleton,P
11,0,0,7,0,0,sentence,0,Factory,P
11,0,0,16,0,0,mixed,0,Abstract Factory,P
11,0,0,7,0,0,sentence,0,Builder,P
11,0,0,9,0,0,sentence,0,Prototype,P
11,1,0,21,0,0,mixed,0,Structural Patterns :,H2
11,0,0,7,0,0,sentence,0,Adapter,P
11,0,0,9,0,0,sentence,0,Decorator,P
11,0,0,5,0,0,sentence,0,Proxy,P
11,0,0,9,0,0,sentence,0,Composite,P
11,0,0,6,0,0,sentence,0,Facade,P
11,1,0,21,0,0,mixed,0,Behavioral Patterns :,H2
11,0,0,8,0,0,sentence,0,Strategy,P
11,0,0,8,0,0,sentence,0,Observer,P
11,0,0,7,0,0,sentence,0,Command,P
11,0,0,5,0,0,sentence,0,State,P
11,0,0,23,0,0,mixed,0,Chain of Responsibility,P
11,0,0,15,0,0,mixed,0,Template Method,P
13,1,0,31,1,1,mixed,0,4. UML Diagrams (Visual Design),H2
11,1,0,13,0,0,mixed,0,Class Diagram,P
11,1,0,16,0,0,mixed,0,Sequence Diagram,P
11,0,0,16,0,0,mixed,0,Use Case Diagram,P
11,0,0,16,0,0,mixed,0,Activity Diagram,P
11,0,0,17,0,0,mixed,0,Component Diagram,P
13,1,0,49,1,1,mixed,0,5. Designing Real-World Systems (Object Modeling),H2
11,0,0,48,0,0,mixed,0,Study how to model real-world systems using OOP:,P
11,0,0,11,0,0,mixed,0,Parking Lot,P
11,0,0,25,0,0,mixed,0,Library Management System,P
11,0,0,20,0,0,mixed,0,Movie Booking System,P
11,0,0,23,0,0,mixed,0,Ride Sharing (Uber/Ola),P
11,0,0,29,0,0,mixed,0,Food Delivery (Zomato/Swiggy),P
11,0,0,10,0,0,mixed,0,ATM System,P
11,0,0,9,0,0,sentence,0,Splitwise,P
11,0,0,30,0,0,mixed,0,Amazon / Flipkart cart systems,P
11,0,0,9,0,0,sentence,0,Focus on:,P
11,0,0,23,0,0,sentence,0,Identifying key classes,P
11,0,0,25,0,0,sentence,0,Defining responsibilities,P
11,0,0,45,0,0,sentence,0,Interactions and communication (method calls),P
11,0,0,21,0,0,sentence,0,Managing dependencies,P
13,1,0,18,1,1,mixed,0,6. Code Principles,H2
11,0,0,26,0,0,mixed,0,DRY (Dont Repeat Yourself),P
11,0,0,29,0,0,mixed,0,"KISS (Keep It Simple, Stupid)",P
11,0,0,31,0,0,mixed,0,YAGNI (You Arent Gonna Need It),P
11,0,0,42,0,0,mixed,0,Law of Demeter (Least knowledge principle),P
11,0,0,28,0,0,mixed,0,Composition over Inheritance,P
13,1,0,33,1,1,mixed,0,7. Interfaces vs Abstract Classes,H2
11,0,0,22,0,0,sentence,0,When to use interfaces,P
11,0,0,28,0,0,sentence,0,When to use abstract classes,P
11,0,0,35,0,0,sentence,0,Multiple inheritance via interfaces,P
13,1,0,32,1,1,mixed,0,8. Error Handling and Edge Cases,H2
11,0,0,16,0,0,sentence,0,Exception design,P
11,0,0,19,0,0,sentence,0,Null object pattern,P
11,0,0,26,0,0,sentence,0,Defensive coding practices,P
13,1,0,14,1,1,mixed,0,9. Testability,H2
11,0,0,38,0,0,sentence,0,Writing code that is easy to unit test,P
11,0,0,26,0,0,sentence,0,Using dependency injection,P
11,0,0,33,0,0,sentence,0,Mocking and stubbing dependencies,P
13,1,0,50,1,1,mixed,0,10. Scalability in Code Design (Readiness for HLD),H2
11,0,0,13,0,0,sentence,0,Extensibility,P
11,0,0,10,0,0,sentence,0,Modularity,P
11,0,0,14,0,0,sentence,0,Loose coupling,P
11,0,0,13,0,0,sentence,0,High cohesion,P
