size,bold,italic,text_len,num_prefix,is_larger_than_common_font,text_case,is_bulleted,label
11,0,0,95,0,0,mixed,0,H3
11,0,0,87,0,0,mixed,0,H3
11,0,0,19,0,0,lower,0,H3
11,0,0,73,0,0,mixed,0,H3
13,1,0,36,1,1,mixed,0,H1
11,1,0,17,0,0,mixed,0,H2
11,0,0,13,0,0,sentence,0,P
11,0,0,11,0,0,sentence,0,P
11,0,0,11,0,0,sentence,0,P
11,0,0,12,0,0,sentence,0,P
11,1,0,16,0,0,mixed,0,H2
11,0,0,31,0,0,mixed,0,P
11,0,0,21,0,0,mixed,0,P
11,0,0,29,0,0,mixed,0,P
11,0,0,31,0,0,mixed,0,P
11,0,0,30,0,0,mixed,0,P
13,1,0,15,1,1,mixed,0,H1
11,0,0,37,0,0,sentence,0,P
11,0,0,25,0,0,sentence,0,P
11,0,0,45,0,0,sentence,0,P
11,0,0,30,0,0,sentence,0,P
11,0,0,11,0,0,sentence,0,P
11,0,0,11,0,0,sentence,0,P
11,0,0,11,0,0,sentence,0,P
11,0,0,21,0,0,sentence,0,P
11,0,0,37,0,0,sentence,0,P
13,1,0,35,1,1,mixed,0,H1
11,1,0,21,0,0,mixed,0,H2
11,0,0,9,0,0,sentence,0,P
11,0,0,7,0,0,sentence,0,P
11,0,0,16,0,0,mixed,0,P
11,0,0,7,0,0,sentence,0,P
11,0,0,9,0,0,sentence,0,P
11,1,0,21,0,0,mixed,0,H2
11,0,0,7,0,0,sentence,0,P
11,0,0,9,0,0,sentence,0,P
11,0,0,5,0,0,sentence,0,P
11,0,0,9,0,0,sentence,0,P
11,0,0,6,0,0,sentence,0,P
11,1,0,21,0,0,mixed,0,H2
11,0,0,8,0,0,sentence,0,P
11,0,0,8,0,0,sentence,0,P
11,0,0,7,0,0,sentence,0,P
11,0,0,5,0,0,sentence,0,P
11,0,0,23,0,0,mixed,0,P
11,0,0,15,0,0,mixed,0,P
13,1,0,31,1,1,mixed,0,H2
11,1,0,13,0,0,mixed,0,P
11,1,0,16,0,0,mixed,0,P
11,0,0,16,0,0,mixed,0,P
11,0,0,16,0,0,mixed,0,P
11,0,0,17,0,0,mixed,0,P
13,1,0,49,1,1,mixed,0,H2
11,0,0,48,0,0,mixed,0,P
11,0,0,11,0,0,mixed,0,P
11,0,0,25,0,0,mixed,0,P
11,0,0,20,0,0,mixed,0,P
11,0,0,23,0,0,mixed,0,P
11,0,0,29,0,0,mixed,0,P
11,0,0,10,0,0,mixed,0,P
11,0,0,9,0,0,sentence,0,P
11,0,0,30,0,0,mixed,0,P
11,0,0,9,0,0,sentence,0,P
11,0,0,23,0,0,sentence,0,P
11,0,0,25,0,0,sentence,0,P
11,0,0,45,0,0,sentence,0,P
11,0,0,21,0,0,sentence,0,P
13,1,0,18,1,1,mixed,0,H2
11,0,0,26,0,0,mixed,0,P
11,0,0,29,0,0,mixed,0,P
11,0,0,31,0,0,mixed,0,P
11,0,0,42,0,0,mixed,0,P
11,0,0,28,0,0,mixed,0,P
